epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
191,399.052,0.0209,0.93103,1,0.26277,6.19e-05,6.19e-05,6.19e-05
192,401.093,0.01152,0.93103,1,0.31927,6.091e-05,6.091e-05,6.091e-05
193,402.985,0.00453,0.93103,1,0.31335,5.992e-05,5.992e-05,5.992e-05
194,405.05,0.00783,0.93103,1,0.30981,5.893e-05,5.893e-05,5.893e-05
195,407.02,0.02051,0.93103,1,0.30591,5.794e-05,5.794e-05,5.794e-05
196,408.989,0.01369,0.93103,1,0.31824,5.695e-05,5.695e-05,5.695e-05
197,410.899,0.01298,0.93103,1,0.29068,5.596e-05,5.596e-05,5.596e-05
198,412.878,0.00574,0.93103,1,0.31482,5.497e-05,5.497e-05,5.497e-05
199,414.865,0.02185,0.93103,1,0.30103,5.398e-05,5.398e-05,5.398e-05
200,417.007,0.00968,0.93103,1,0.30493,5.299e-05,5.299e-05,5.299e-05
201,418.947,0.02205,0.93103,1,0.29272,5.2e-05,5.2e-05,5.2e-05
202,420.912,0.02213,0.93103,1,0.28546,5.101e-05,5.101e-05,5.101e-05
203,422.831,0.01725,0.93103,1,0.28766,5.002e-05,5.002e-05,5.002e-05
204,424.794,0.00483,0.93103,1,0.27933,4.903e-05,4.903e-05,4.903e-05
205,426.839,0.00184,0.93103,1,0.32898,4.804e-05,4.804e-05,4.804e-05
206,428.87,0.00968,0.93103,1,0.33621,4.705e-05,4.705e-05,4.705e-05
207,430.887,0.01622,0.93103,1,0.28278,4.606e-05,4.606e-05,4.606e-05
208,432.828,0.00823,0.91379,1,0.31848,4.507e-05,4.507e-05,4.507e-05
209,434.766,0.00427,0.91379,1,0.28536,4.408e-05,4.408e-05,4.408e-05
210,436.697,0.00583,0.93103,1,0.3092,4.309e-05,4.309e-05,4.309e-05
211,438.889,0.01514,0.93103,1,0.29657,4.21e-05,4.21e-05,4.21e-05
212,441.115,0.00493,0.91379,1,0.33032,4.111e-05,4.111e-05,4.111e-05
213,443.093,0.02488,0.91379,1,0.34363,4.012e-05,4.012e-05,4.012e-05
214,445.11,0.02155,0.91379,1,0.31445,3.913e-05,3.913e-05,3.913e-05
215,447.117,0.00954,0.93103,1,0.33398,3.814e-05,3.814e-05,3.814e-05
216,449.089,0.00343,0.91379,1,0.32996,3.715e-05,3.715e-05,3.715e-05
217,451.074,0.0085,0.91379,1,0.3335,3.616e-05,3.616e-05,3.616e-05
218,453.093,0.01793,0.93103,1,0.33331,3.517e-05,3.517e-05,3.517e-05
219,455.018,0.00641,0.93103,1,0.29971,3.418e-05,3.418e-05,3.418e-05
220,457.138,0.00494,0.93103,1,0.29337,3.319e-05,3.319e-05,3.319e-05
221,459.103,0.00631,0.93103,1,0.31982,3.22e-05,3.22e-05,3.22e-05
222,461.106,0.006,0.93103,1,0.32556,3.121e-05,3.121e-05,3.121e-05
223,463.098,0.01027,0.93103,1,0.35101,3.022e-05,3.022e-05,3.022e-05
224,465.147,0.0031,0.93103,1,0.31873,2.923e-05,2.923e-05,2.923e-05
